system,pre_pct,post_pct,diff
covid,0.0,0.07487684572662635,0.07487684572662635
neurologic,0.02821896291735849,0.039682306562050546,0.011463343644692054
endocrine,0.04077830097710689,0.05175238937954471,0.010974088402437819
other,0.07623700519496682,0.0866301708746337,0.010393165679666888
mental,0.013608117977709139,0.019294419558054395,0.005686301580345256
respiratory,0.05808227111038211,0.06325430336072503,0.00517203225034292
infection,0.015575989792973399,0.019158849019326647,0.0035828592263532476
renal,0.014745929123529533,0.017567691491510752,0.0028217623679812186
injury,0.019718927120299344,0.016172349169965204,-0.00354657795033414
oncology,0.2268948746297424,0.20856707754671577,-0.01832779708302662
cardio,0.5061396211559319,0.4030435973108468,-0.1030960238450851
